relationship_id,source_person_id,target_person_id,platform,relationship_type,timestamp,confidence,case_id
S0100,P025,P051,WhatsApp,associated_with,2026-05-23,0.63,
S0101,P025,P019,Telegram,follows,2026-03-18,0.59,
S0102,P017,P055,Telegram,communicates_with,2026-07-22,0.73,FIR-0181-2026
S0103,P008,P056,Telegram,member_of,2026-02-19,0.97,FIR-0237-2026
S0104,P078,P007,Instagram,follows,2026-06-07,0.97,FIR-0108-2026
S0105,P062,P043,Facebook,member_of,2026-02-12,0.85,FIR-0365-2026
S0106,P044,P074,Instagram,member_of,2026-07-13,0.91,
S0107,P008,P016,Instagram,associated_with,2026-06-08,0.96,FIR-0237-2026
S0108,P043,P024,Facebook,member_of,2026-03-21,0.58,FIR-0365-2026
S0109,P029,P030,Facebook,member_of,2026-05-28,0.58,
S0110,P064,P016,Instagram,communicates_with,2026-06-24,0.77,
S0111,P074,P042,Telegram,associated_with,2026-07-01,0.6,
S0112,P028,P027,WhatsApp,follows,2026-02-20,0.85,FIR-0478-2026
S0113,P007,P044,Instagram,follows,2026-04-07,0.86,
S0114,P065,P020,WhatsApp,associated_with,2026-08-01,0.79,FIR-0478-2026
S0115,P024,P013,Telegram,member_of,2026-05-23,0.7,
S0116,P020,P044,Instagram,communicates_with,2026-06-05,0.59,FIR-0222-2026
S0117,P057,P078,Instagram,associated_with,2026-02-20,0.95,
S0118,P004,P039,Instagram,member_of,2026-07-15,0.94,
S0119,P020,P050,WhatsApp,communicates_with,2026-03-12,0.92,
S0120,P030,P037,Facebook,member_of,2026-05-03,0.9,FIR-0322-2026
S0121,P008,P007,Instagram,follows,2026-04-03,0.87,FIR-0237-2026
S0122,P065,P012,Facebook,member_of,2026-07-13,0.65,FIR-0181-2026
S0123,P010,P052,Telegram,member_of,2026-04-10,0.75,FIR-0170-2026
S0124,P028,P067,WhatsApp,follows,2026-05-06,0.75,FIR-0365-2026
S0125,P043,P038,Telegram,associated_with,2026-01-17,0.98,FIR-0334-2026
S0126,P073,P040,WhatsApp,communicates_with,2026-05-29,0.82,
S0127,P068,P050,Instagram,member_of,2026-01-20,0.75,FIR-0360-2026
S0128,P010,P029,Instagram,member_of,2026-03-09,0.64,
S0129,P061,P025,Telegram,associated_with,2026-06-11,0.89,FIR-0430-2026
S0130,P067,P073,Instagram,follows,2026-02-03,0.72,FIR-0365-2026
S0131,P001,P073,Instagram,member_of,2026-06-02,0.74,FIR-0222-2026
S0132,P028,P079,WhatsApp,communicates_with,2026-05-16,0.76,
S0133,P059,P052,Telegram,communicates_with,2026-01-22,0.71,
S0134,P002,P036,WhatsApp,member_of,2026-07-09,0.87,
S0135,P054,P056,Telegram,associated_with,2026-06-23,0.88,
S0136,P012,P011,Telegram,follows,2026-01-21,0.98,
S0137,P042,P062,Telegram,member_of,2026-04-13,0.76,FIR-0284-2026
S0138,P014,P048,Facebook,associated_with,2026-01-27,0.9,FIR-0295-2026
S0139,P070,P047,Telegram,member_of,2026-06-01,0.95,FIR-0334-2026
S0140,P032,P043,WhatsApp,member_of,2026-04-04,0.62,
S0141,P046,P018,WhatsApp,communicates_with,2026-02-21,0.8,FIR-0237-2026
S0142,P020,P030,Telegram,communicates_with,2026-03-05,0.77,
S0143,P036,P067,WhatsApp,communicates_with,2026-04-29,0.73,
S0144,P066,P064,Telegram,member_of,2026-04-23,0.88,
S0145,P053,P016,Instagram,communicates_with,2026-02-18,0.81,FIR-0383-2026
S0146,P038,P045,Telegram,communicates_with,2026-06-25,0.58,
S0147,P066,P067,Telegram,associated_with,2026-03-30,0.57,FIR-0365-2026
S0148,P056,P037,WhatsApp,member_of,2026-04-05,0.74,
S0149,P038,P074,Facebook,member_of,2026-03-10,0.73,FIR-0393-2026
S0150,P041,P011,WhatsApp,member_of,2026-04-15,0.89,FIR-0284-2026
